,algorithm,dataset,time,uniqueness,ent_ratio
25,CNAFS,warpPIE10P.mat,0.76135,0.5333333333333333,0.9845388845456221
5,CNAFS,mushrooms.mat,179.8213,0.001600196947316593,0.2726332733223842
27,EGCFS,warpPIE10P.mat,1.849508,0.4666666666666667,0.9857585311602562
7,EGCFS,mushrooms.mat,54.903108,0.004923682914820286,0.9236227691833719
39,FMIUFS,warpPIE10P.mat,180.316969,0.2,0.8091307061410855
17,FMIUFS,mushrooms.mat,1256.612091,0.0038158542589857214,0.903575549511619
30,FSDK,warpPIE10P.mat,0.502887,0.4238095238095238,0.970053905497678
10,FSDK,mushrooms.mat,1.14769,0.001846381093057607,0.7183694792608839
40,GRSSLSF,warpPIE10P.mat,3.422851,0.23809523809523808,0.8017720118420735
18,GRSSLSF,mushrooms.mat,7.012828,0.012186115214180207,0.7500945382837539
20,JMVFG,warpPIE10P.mat,2.487878,0.35714285714285715,0.9742494656639539
1,JMVFG,mushrooms.mat,141.191499,0.0023387493845396356,0.8398017768783381
12,LS,mushrooms.mat,0.691663,0.0020925652387986213,0.8526226850985539
32,LS,warpPIE10P.mat,0.010936,0.09047619047619047,0.682028143699116
0,MAX_VAR,mushrooms.mat,0.091642,0.01809453471196455,0.9817078029630051
19,MAX_VAR,warpPIE10P.mat,0.001157,0.22380952380952382,0.8507508227515367
22,MCFS,warpPIE10P.mat,0.036965,0.32857142857142857,0.9510068911598885
3,MCFS,mushrooms.mat,0.566827,0.005046774987690792,0.9173702787037251
16,MGAGR,mushrooms.mat,2953.56478,0.45420974889217136,1.0
37,MGAGR,warpPIE10P.mat,91.960442,1.0,1.0
35,NDFS,warpPIE10P.mat,15.727871,0.2714285714285714,0.9585219745147978
14,NDFS,mushrooms.mat,107.653306,0.0030773018217626785,0.8710961290073147
21,PROPQ,warpPIE10P.mat,55.388061,0.21428571428571427,0.924591153599805
2,PROPQ,mushrooms.mat,1.277094,0.022648941408173313,0.9833225789156431
11,RAFG,mushrooms.mat,8545.625348,0.001600196947316593,0.48181272072213444
31,RAFG,warpPIE10P.mat,356.50694,0.16666666666666666,0.8794473069131996
33,RSOBC,warpPIE10P.mat,0.468639,0.2,0.8167859239333901
34,RUSLP,warpPIE10P.mat,2.655022,0.3476190476190476,0.9321059060797581
13,RUSLP,mushrooms.mat,12.83679,0.001846381093057607,0.6953539742187668
28,SLNMF,warpPIE10P.mat,3.868682,0.3,0.7742515763029506
8,SLNMF,mushrooms.mat,44.234533,0.0009847365829640572,0.5199202783564616
6,SOCFS,mushrooms.mat,11.351842,0.02141802067946824,0.9779361921960008
26,SOCFS,warpPIE10P.mat,77.641643,0.10476190476190476,0.7518327239484107
38,SSDS,warpPIE10P.mat,51.385836,0.22380952380952382,0.835007322708756
15,U2FS,mushrooms.mat,8.610334,0.004923682914820286,0.9335093870789644
36,U2FS,warpPIE10P.mat,64.883406,0.3761904761904762,0.9827343757179549
24,UDFS,warpPIE10P.mat,12.674938,0.2571428571428571,0.8942059980688367
4,UDFS,mushrooms.mat,5.146075,0.0022156573116691287,0.8693068117588829
23,UFS2,warpPIE10P.mat,1.027611,0.15714285714285714,0.7495023022350612
9,VCSDFS,mushrooms.mat,36.883548,0.007385524372230428,0.9309664769042544
29,VCSDFS,warpPIE10P.mat,14.135759,0.30952380952380953,0.949949126317206
