,algorithm,dataset,time,uniqueness,ent_ratio,publisher,year
0,MAX_VAR,mushrooms.mat,0.091642,0.01809453471196455,0.9817078029630051,,-1
3,MCFS,mushrooms.mat,0.566827,0.005046774987690792,0.9173702787037251,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2010
12,LS,mushrooms.mat,0.691663,0.0020925652387986213,0.8526226850985539,,-1
10,FSDK,mushrooms.mat,1.14769,0.001846381093057607,0.7183694792608839,IEEE Transactions on Neural Networks and Learning Systems,2023
2,PROPQ,mushrooms.mat,1.277094,0.022648941408173313,0.9833225789156431,,-1
4,UDFS,mushrooms.mat,5.146075,0.0022156573116691287,0.8693068117588829,IJCAI'11,2011
18,GRSSLSF,mushrooms.mat,7.012828,0.012186115214180207,0.7500945382837539,Transactions on Machine Learning Research,2024
15,U2FS,mushrooms.mat,8.610334,0.004923682914820286,0.9335093870789644,PeerJ Comput Sci,2021
6,SOCFS,mushrooms.mat,11.351842,0.02141802067946824,0.9779361921960008,CVPR,2015
13,RUSLP,mushrooms.mat,12.83679,0.001846381093057607,0.6953539742187668,Information Sciences,2022
9,VCSDFS,mushrooms.mat,36.883548,0.007385524372230428,0.9309664769042544,Neural Networks,2023
8,SLNMF,mushrooms.mat,44.234533,0.0009847365829640572,0.5199202783564616,Expert Systems with Applications,2023
7,EGCFS,mushrooms.mat,54.903108,0.004923682914820286,0.9236227691833719,IEEE transactions on neural networks and learning systems,2020
14,NDFS,mushrooms.mat,107.653306,0.0030773018217626785,0.8710961290073147,AAAI,2012
1,JMVFG,mushrooms.mat,141.191499,0.0023387493845396356,0.8398017768783381,IEEE Transactions on Emerging Topics in Computational Intelligence,2023
5,CNAFS,mushrooms.mat,179.8213,0.001600196947316593,0.2726332733223842,IEEE Transactions on Cybernetics,2020
17,FMIUFS,mushrooms.mat,1256.612091,0.0038158542589857214,0.903575549511619,IEEE Transactions on Fuzzy Systems,2021
16,MGAGR,mushrooms.mat,2953.56478,0.45420974889217136,1.0,IEEE Transactions on Knowledge and Data Engineering,2021
11,RAFG,mushrooms.mat,8545.625348,0.001600196947316593,0.48181272072213444,Applied Intelligence,2024
